Date,Team,Acquired,Relinquished,Notes
10/3/2010,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
10/6/2010,Pistons,,Jonas Jerebko,torn right Achilles tendon (out indefinitely)
10/6/2010,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
10/8/2010,Blazers,,Jeff Ayres,torn ACL in right knee (out indefinitely)
10/8/2010,Nets,,Troy Murphy,strained lower back (out indefinitely)
10/8/2010,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
10/8/2010,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
10/9/2010,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
10/12/2010,Bucks,,Darington Hobson,surgery on left hip (out for season)
10/12/2010,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
10/17/2010,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
10/18/2010,Warriors,,Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
10/19/2010,Suns,,Josh Childress,fractured right index finger (out indefinitely)
10/22/2010,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
10/25/2010,Thunder,,Nick Collison,left knee injury (out indefinitely)
10/25/2010,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
10/26/2010,Blazers,,Elliot Williams,placed on IL
10/26/2010,Blazers,,Greg Oden,placed on IL with left knee injury (out for season)
10/26/2010,Blazers,,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon
10/26/2010,Celtics,,Avery Bradley,placed on IL recovering from surgery on left ankle
10/26/2010,Celtics,,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL
10/26/2010,Celtics,,Luke Harangody,placed on IL
10/26/2010,Heat,,Dexter Pittman,placed on IL
10/26/2010,Heat,,Jerry Stackhouse,placed on IL
10/26/2010,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
10/26/2010,Heat,,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage
10/26/2010,Lakers,,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments
10/26/2010,Lakers,,Luke Walton,placed on IL with strained right hamstring
10/26/2010,Rockets,,Jermaine Taylor,placed on IL
10/26/2010,Rockets,,Kyle Lowry,placed on IL with back spasms
10/26/2010,Rockets,,Patrick Patterson,placed on IL
10/26/2010,Suns,,Gani Lawal,placed on IL
10/26/2010,Suns,,Matt Janning,placed on IL
10/27/2010,76ers,,Craig Brackins,placed on IL
10/27/2010,76ers,,Jodie Meeks,placed on IL
10/27/2010,Bobcats,,Dominic McGuire,placed on IL with stress fracture in left shin
10/27/2010,Bobcats,,Eduardo Najera,placed on IL with sports hernia
10/27/2010,Bobcats,,Kwame Brown,placed on IL with sprained left ankle
10/27/2010,Bucks,,Chris Douglas-Roberts,placed on IL with right eye injury
10/27/2010,Bucks,,Jon Brockman,sprained left ankle (DNP)
10/27/2010,Bucks,,Luc Mbah a Moute,sprained right ankle (DNP)
10/27/2010,Bucks,,Michael Redd,placed on IL recovering from surgery on left knee to repair torn ACL
10/27/2010,Bulls,,Carlos Boozer,placed on IL with fractured bone in right pinky finger
10/27/2010,Cavaliers,,Christian Eyenga,placed on IL
10/27/2010,Cavaliers,,Mo Williams,placed on IL with groin injury
10/27/2010,Cavaliers,,Samardo Samuels,placed on IL
10/27/2010,Clippers,,Craig Smith,placed on IL with back injury
10/27/2010,Clippers,,Willie Warren,placed on IL
10/27/2010,Grizzlies,,Greivis Vasquez,placed on IL recovering from surgery on right ankle to remove bone spur
10/27/2010,Grizzlies,,Marc Gasol,placed on IL with sprained right ankle / left ankle
10/27/2010,Hawks,,Etan Thomas,placed on IL
10/27/2010,Hawks,,Pape Sy,placed on IL with strained lower back
10/27/2010,Heat,,Jamaal Magloire,placed on IL
10/27/2010,Heat,Jerry Stackhouse,,activated from IL
10/27/2010,Hornets,,Aaron Gray,placed on IL
10/27/2010,Hornets,,Joe Alexander,placed on IL
10/27/2010,Hornets,,Quincy Pondexter,placed on IL
10/27/2010,Jazz,,Mehmet Okur,placed on IL recovering from surgery to repair torn left Achilles tendon
10/27/2010,Kings,,Antoine Wright,placed on IL
10/27/2010,Kings,,Samuel Dalembert,placed on IL with strained left abductor
10/27/2010,Knicks,,Anthony Randolph,placed on IL with sprained left ankle
10/27/2010,Knicks,,Eddy Curry,placed on IL with strained right hamstring
10/27/2010,Knicks,,Kelenna Azubuike,placed on IL recovering from arthroscopic surgery on right knee
10/27/2010,Mavericks,,Alex Ajinca,placed on IL
10/27/2010,Mavericks,,Rodrigue Beaubois,placed on IL with fractured left foot
10/27/2010,Mavericks,,Steve Novak,placed on IL
10/27/2010,Nets,,Ben Uzoh,placed on IL
10/27/2010,Nets,,Quinton Ross,placed on IL
10/27/2010,Nets,,Troy Murphy,placed on IL with strained lower back
10/27/2010,Nuggets,,Chris Andersen,placed on IL recovering from surgery on right knee to repair partially torn patella tendon
10/27/2010,Nuggets,,Kenyon Martin,placed on IL recovering from surgery on left knee
10/27/2010,Pacers,,A.J. Price,placed on IL
10/27/2010,Pacers,,Dahntay Jones,placed on IL
10/27/2010,Pacers,,Lance Stephenson,placed on IL
10/27/2010,Pistons,,Chris Wilcox,placed on IL with sore left hamstring
10/27/2010,Pistons,,Jonas Jerebko,placed on IL recovering from surgery to repair torn right Achilles tendon (out for season)
10/27/2010,Pistons,,Terrico White,placed on IL recovering from surgery on right foot to repair broken fifth metatarsal (out for season)
10/27/2010,Raptors,,Ed Davis ,placed on IL recovering from arthroscopic surgery on right kene to repair torn meniscus
10/27/2010,Raptors,,Marcus Banks,placed on IL
10/27/2010,Raptors,,Solomon Alabi,placed on IL
10/27/2010,Rockets,,Yao Ming,placed on IL
10/27/2010,Rockets,Jermaine Taylor,,activated from IL
10/27/2010,Spurs,,Alonzo Gee,placed on IL
10/27/2010,Spurs,,Tiago Splitter,placed on IL with strained right plantaris muscle / calf injury (CBC)
10/27/2010,Thunder,,B.J. Mullens,placed on IL
10/27/2010,Thunder,,Morris Peterson,placed on IL
10/27/2010,Thunder,,Nick Collison,placed on IL with stress reaction in lower left leg
10/27/2010,Timberwolves,,Jonny Flynn,placed on IL recovering from surgery on left hip
10/27/2010,Timberwolves,,Martell Webster,placed on IL recovering from surgery on back
10/27/2010,Timberwolves,,Maurice Ager,placed on IL with bruised left quadriceps
10/27/2010,Warriors,,Ekpe Udoh,placed on IL recovering from surgery on left wrist
10/27/2010,Warriors,,Jeremy Lin,placed on IL
10/27/2010,Warriors,,Lou Amundson,placed on IL recovering from surgery to repair fractured right index finger
10/28/2010,Grizzlies,,Zach Randolph,back injury (DTD)
10/28/2010,Hawks,,Maurice Evans,right knee inflammation (DTD)
10/28/2010,Magic,,Daniel Orton,placed on IL
10/28/2010,Magic,,Malik Allen,placed on IL
10/28/2010,Spurs,,Matt Bonner,sprained right ankle (DTD)
10/28/2010,Wizards,,Gilbert Arenas,placed on IL with sprained right ankle
10/28/2010,Wizards,,Josh Howard,placed on IL with torn ACL in left knee
10/28/2010,Wizards,,Kevin Seraphin,placed on IL
10/29/2010,Cavaliers,Samardo Samuels,,activated from IL
10/29/2010,Celtics,,Jermaine O'Neal,placed on IL with left knee injury
10/29/2010,Celtics,Luke Harangody,,activated from IL
10/29/2010,Grizzlies,,Zach Randolph,placed on IL with bruised tailbone
10/29/2010,Grizzlies,Marc Gasol,,activated from IL
10/29/2010,Hawks,,Maurice Evans,placed on IL with right knee inflammation
10/29/2010,Hawks,Etan Thomas,,activated from IL
10/29/2010,Heat,,Juwan Howard,placed on IL
10/29/2010,Heat,Jamaal Magloire,,activated from IL
10/29/2010,Heat,Mario Chalmers,,returned to lineup
10/29/2010,Kings,,Pooh Jeter,placed on IL
10/29/2010,Kings,,Hassan Whiteside,placed on IL
10/29/2010,Kings,Antoine Wright,,activated from IL
10/29/2010,Kings,Samuel Dalembert,,activated from IL
10/29/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
10/29/2010,Raptors,,Joey Dorsey,placed on IL
10/29/2010,Raptors,Marcus Banks,,activated from IL
10/29/2010,Warriors,,Jeff Adrien,placed on IL
10/29/2010,Warriors,Jeremy Lin,,activated from IL
10/30/2010,Cavaliers,,Samardo Samuels,placed on IL
10/30/2010,Grizzlies,,Xavier Henry,placed on IL
10/30/2010,Grizzlies,Greivis Vasquez,,activated from IL
10/30/2010,Pacers,,Jeff Foster,placed on IL
10/30/2010,Pacers,Dahntay Jones,,activated from IL
10/30/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
10/30/2010,Rockets,,Ish Smith,placed on IL
10/30/2010,Rockets,Kyle Lowry,,activated from IL
10/30/2010,Rockets,Yao Ming,,activated from IL
10/30/2010,Spurs,,Matt Bonner,placed on IL with sprained right ankle
10/30/2010,Spurs,Alonzo Gee,,activated from IL
10/30/2010,Wizards,Kevin Seraphin,,activated from IL
10/31/2010,Clippers,,Randy Foye,placed on IL with strained left hamstring
10/31/2010,Clippers,Craig Smith,,activated from IL
10/31/2010,Warriors,,Stephen Curry,placed on IL with sprained right ankle
10/31/2010,Warriors,Jeff Adrien,,activated from IL
11/1/2010,Clippers,,Baron Davis,placed on IL with sore left knee
11/1/2010,Clippers,Willie Warren,,activated from IL
11/1/2010,Raptors,,Marcus Banks,placed on IL
11/1/2010,Raptors,Joey Dorsey,,activated from IL
11/1/2010,Spurs,,Alonzo Gee,placed on IL
11/1/2010,Spurs,Tiago Splitter,,activated from IL
11/2/2010,Blazers,,Patty Mills,placed on IL
11/2/2010,Blazers,Elliot Williams,,activated from IL
11/2/2010,Cavaliers,,Antawn Jamison,placed on IL with sore left knee
11/2/2010,Cavaliers,Mo Williams,,activated from IL
11/2/2010,Celtics,,Shaquille O'Neal,placed on IL with bruised right knee
11/2/2010,Celtics,Jermaine O'Neal,,activated from IL
11/2/2010,Grizzlies,,Greivis Vasquez,placed on IL
11/2/2010,Grizzlies,Xavier Henry,,activated from IL
11/2/2010,Heat,,Jamaal Magloire,placed on IL
11/2/2010,Heat,Juwan Howard,,activated from IL
11/2/2010,Pistons,,Richard Hamilton,sore right foot (DNP)
11/2/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
11/3/2010,Grizzlies,,DeMarre Carroll,placed on IL
11/3/2010,Grizzlies,Greivis Vasquez,,activated from IL
11/3/2010,Hawks,,Jamal Crawford,turf toe (DNP)
11/3/2010,Hornets,,Peja Stojakovic,placed on IL
11/3/2010,Hornets,Quincy Pondexter,,activated from IL
11/3/2010,Jazz,,Jeremy Evans,sprained right wrist (DNP)
11/3/2010,Jazz,,Kyrylo Fesenko,stomach illness (DNP)
11/3/2010,Nets,,Joe Smith ,placed on IL
11/3/2010,Nets,,Stephen Graham,placed on IL
11/3/2010,Nets,Quinton Ross,,activated from IL
11/3/2010,Nets,Troy Murphy,,activated from IL
11/3/2010,Nuggets,,Nene Hilario ,strained left groin (DNP)
11/3/2010,Pistons,,Richard Hamilton,sore right foot (DNP)
11/3/2010,Pistons,,Will Bynum,sore right hamstring (DNP)
11/3/2010,Rockets,,Jermaine Taylor,placed on IL
11/3/2010,Rockets,Kyle Lowry,,activated from IL
11/3/2010,Spurs,,George Hill,placed on IL with neck injury
11/3/2010,Spurs,Alonzo Gee,,activated from IL
11/3/2010,Timberwolves,,Michael Beasley,placed on IL with bruised left hip
11/3/2010,Timberwolves,Maurice Ager,,activated from IL
11/3/2010,Warriors,,Brandan Wright,stomach virus (DTD)
11/4/2010,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)"
11/4/2010,Blazers,Patty Mills,,activated from IL
11/4/2010,Knicks,,Shawne Williams,placed on IL
11/4/2010,Knicks,Anthony Randolph,,activated from IL
11/5/2010,Bucks,,Andrew Bogut,migraine headache (DNP)
11/5/2010,Grizzlies,,Hamed Haddadi,placed on IL
11/5/2010,Grizzlies,Zach Randolph,,activated from IL
11/5/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
11/5/2010,Jazz,,Jeremy Evans,sprained right ankle (DNP)
11/5/2010,Lakers,,Devin Ebanks,placed on IL
11/5/2010,Lakers,Luke Walton,,activated from IL
11/5/2010,Nuggets,,Nene Hilario ,strained left groin (DNP)
11/5/2010,Timberwolves,,Maurice Ager,placed on IL
11/5/2010,Timberwolves,Michael Beasley,,activated from IL
11/5/2010,Warriors,,Jeremy Lin,placed on IL
11/5/2010,Warriors,Stephen Curry,,activated from IL
11/5/2010,Wizards,Gilbert Arenas,,activated from IL
11/6/2010,Blazers,,Elliot Williams,"placed on IL with dislocated patella in right knee (surgery, out for season)"
11/6/2010,Blazers,,Rudy Fernandez,back injury (DNP)
11/6/2010,Heat,,Juwan Howard,placed on IL
11/6/2010,Heat,Jamaal Magloire,,activated from IL
11/6/2010,Kings,Pooh Jeter,,activated from IL
11/6/2010,Kings,Hassan Whiteside,,activated from IL
11/6/2010,Magic,,Jameer Nelson,placed on IL with sprained left ankle
11/6/2010,Magic,Malik Allen,,activated from IL
11/6/2010,Nuggets,,Nene Hilario ,strained left groin (DNP)
11/6/2010,Raptors,,Sonny Weems,ankle injury (DTD)
11/6/2010,Raptors,,Sonny Weems,placed on IL with ankle injury
11/6/2010,Raptors,Marcus Banks,,activated from IL
11/6/2010,Rockets,,Kyle Lowry,placed on IL with sore back
11/6/2010,Rockets,,Yao Ming,placed on IL with foot injury / rest
11/6/2010,Rockets,Ish Smith,,activated from IL
11/6/2010,Rockets,Jermaine Taylor,,activated from IL
11/6/2010,Spurs,George Hill,,activated from IL
11/7/2010,76ers,,Andre Iguodala,placed on IL with right Achilles tendon injury
11/7/2010,76ers,Jodie Meeks,,activated from IL
11/7/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
11/7/2010,Rockets,,Aaron Brooks,placed on IL with sprained left ankle
11/7/2010,Rockets,Yao Ming,,activated from IL
11/7/2010,Thunder,,Jeff Green,placed on IL with sprained left ankle
11/7/2010,Thunder,Morris Peterson,,activated from IL
11/7/2010,Timberwolves,,Lazar Hayward,placed on IL
11/7/2010,Timberwolves,Michael Beasley,,activated from IL (P)
11/7/2010,Warriors,,Jeff Adrien,placed on IL
11/7/2010,Warriors,Jeremy Lin,,activated from IL
11/8/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
11/8/2010,Magic,,Mickael Pietrus,DNP
11/8/2010,Raptors,,Joey Dorsey,placed on IL
11/8/2010,Raptors,Sonny Weems,,activated from IL
11/8/2010,Spurs,,Garrett Temple,placed on IL
11/9/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/9/2010,Cavaliers,,Manny Harris,placed on IL
11/9/2010,Cavaliers,Antawn Jamison,,activated from IL
11/9/2010,Clippers,,Eric Gordon,placed on IL with left shoulder injury
11/9/2010,Clippers,Baron Davis,,activated from IL
11/9/2010,Lakers,,Derrick Caracter,placed on IL
11/9/2010,Lakers,Devin Ebanks,,activated from IL
11/9/2010,Nets,,Terrence Williams,placed on IL with lower abdominal strain
11/9/2010,Nets,Stephen Graham,,activated from IL
11/9/2010,Timberwolves,,Luke Ridnour,placed on IL with strained hamstring
11/9/2010,Timberwolves,Lazar Hayward,,activated from IL
11/10/2010,76ers,Craig Brackins,,activated from IL
11/10/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/10/2010,Clippers,,Baron Davis,placed on IL with sore left knee
11/10/2010,Clippers,,Chris Kaman,sprained left ankle (DNP)
11/10/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
11/10/2010,Kings,,Pooh Jeter,placed on IL
11/10/2010,Kings,,Hassan Whiteside,placed on IL
11/10/2010,Knicks,,Ronny Turiaf,placed on IL with sprained left knee
11/10/2010,Knicks,Shawne Williams,,activated from IL
11/10/2010,Magic,,Malik Allen,placed on IL
11/10/2010,Magic,Jameer Nelson,,activated from IL
11/10/2010,Mavericks,,Caron Butler,placed on IL with back spasms
11/10/2010,Mavericks,Steve Novak,,activated from IL
11/10/2010,Nets,,Stephen Graham,placed on IL
11/10/2010,Nets,,Troy Murphy,placed on IL with sore right foot
11/10/2010,Nets,Ben Uzoh,,activated from IL
11/10/2010,Nets,Joe Smith ,,activated from IL
11/10/2010,Raptors,,David Andersen,flu (DTD)
11/10/2010,Raptors,,Leandro Barbosa,placed on IL with strained left shoulder
11/10/2010,Raptors,Joey Dorsey,,activated from IL
11/10/2010,Rockets,,Jermaine Taylor,placed on IL
11/10/2010,Rockets,Kyle Lowry,,activated from IL
11/10/2010,Timberwolves,,Wayne Ellington,thigh injury (DTD)
11/10/2010,Warriors,,Dan Gadzuric,placed on IL with back spasms
11/10/2010,Warriors,Jeff Adrien,,activated from IL
11/10/2010,Wizards,,Kevin Seraphin,placed on IL
11/10/2010,Wizards,,Lester Hudson,placed on IL
11/10/2010,Clippers,Eric Gordon,,activated from IL
11/10/2010,Clippers,,Eric Gordon,sore left shoulder (DNP)
11/11/2010,Celtics,,Jermaine O'Neal,sore left knee (DNP)
11/11/2010,Celtics,Shaquille O'Neal,,activated from IL
11/11/2010,Lakers,,Theo Ratliff,placed on IL with left knee tendinitis
11/11/2010,Lakers,Derrick Caracter,,activated from IL
11/11/2010,Rockets,,Yao Ming,sprained left ankle (DTD)
11/11/2010,Spurs,,James Anderson,stress fracture in right foot (out indefinitely)
11/11/2010,Warriors,,David Lee,placed on IL with infection in left elbow
11/11/2010,Warriors,Dan Gadzuric,,activated from IL
11/12/2010,76ers,,Craig Brackins,placed on IL
11/12/2010,76ers,,Darius Songaila,placed on IL
11/12/2010,76ers,Andre Iguodala,,activated from IL
11/12/2010,Clippers,,Chris Kaman,placed on IL with knee injury (P)
11/12/2010,Hawks,,Etan Thomas,placed on IL
11/12/2010,Hawks,Maurice Evans,,activated from IL
11/12/2010,Raptors,,David Andersen,placed on IL with flu
11/12/2010,Raptors,,Linas Kleiza,placed on IL with right Achilles tendinitis
11/12/2010,Raptors,Ed Davis ,,activated from IL
11/12/2010,Raptors,Solomon Alabi,,activated from IL
11/12/2010,Rockets,,Yao Ming,placed on IL with sprained left ankle (later diagnosed as stress fracture in left ankle)
11/12/2010,Rockets,Jermaine Taylor,,activated from IL
11/12/2010,Thunder,B.J. Mullens,,activated from IL
11/12/2010,Warriors,,David Lee,surgery on left elbow to repair infection
11/12/2010,Clippers,Randy Foye,,activated from IL
11/12/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
11/13/2010,Bobcats,Eduardo Najera,,activated from IL
11/13/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/13/2010,Cavaliers,,Anderson Varejao,placed on IL with bruised ribs
11/13/2010,Cavaliers,,Mo Williams,placed on IL with strained left groin
11/13/2010,Cavaliers,Manny Harris,,activated from IL
11/13/2010,Cavaliers,Samardo Samuels,,activated from IL
11/13/2010,Celtics,,Jermaine O'Neal,sore left knee (DNP)
11/13/2010,Heat,,Jamaal Magloire,placed on IL
11/13/2010,Heat,Juwan Howard,,activated from IL
11/13/2010,Hornets,,Marcus Thornton ,placed on IL
11/13/2010,Hornets,Peja Stojakovic,,activated from IL
11/13/2010,Nets,,Joe Smith ,placed on IL
11/13/2010,Nets,Troy Murphy,,activated from IL
11/13/2010,Raptors,,Ed Davis ,placed on IL
11/13/2010,Raptors,,Reggie Evans,flu-like symptoms (DNP)
11/13/2010,Raptors,David Andersen,,activated from IL
11/13/2010,Spurs,,James Anderson,placed on IL with stress fracture in right foot
11/13/2010,Spurs,Matt Bonner,,activated from IL
11/14/2010,Lakers,,Steve Blake,placed on IL with stomach ache
11/14/2010,Lakers,Theo Ratliff,,activated from IL
11/14/2010,Pistons,,DaJuan Summers,placed on IL
11/14/2010,Pistons,Chris Wilcox,,activated from IL
11/14/2010,Rockets,,Chase Budinger,sprained left ankle (DNP)
11/14/2010,Thunder,,B.J. Mullens,placed on IL
11/14/2010,Thunder,,Daequan Cook,placed on IL
11/14/2010,Thunder,Jeff Green,,activated from IL
11/14/2010,Thunder,Nick Collison,,activated from IL
11/14/2010,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP)
11/14/2010,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
11/15/2010,Bobcats,,Gerald Henderson Jr.,placed on IL with sore left knee
11/15/2010,Bobcats,Kwame Brown,,activated from IL
11/15/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
11/15/2010,Jazz,,Raja Bell,strained left abductor (DNP)
11/15/2010,Magic,,J.J. Redick,placed on IL with back spasms
11/15/2010,Magic,Malik Allen,,activated from IL
11/15/2010,Nets,,Damion James,placed on IL
11/15/2010,Nets,Stephen Graham,,activated from IL
11/15/2010,Suns,,Robin Lopez,placed on IL with sprained ligaments in left knee
11/15/2010,Suns,Gani Lawal,,activated from IL
11/15/2010,Thunder,,Jeff Green,placed on IL with sprained left ankle
11/15/2010,Timberwolves,,Nikola Pekovic,left foot injury (DNP)
11/15/2010,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
11/16/2010,76ers,,Andre Iguodala,placed on IL with right Achilles tendon injury
11/16/2010,76ers,Darius Songaila,,activated from IL
11/16/2010,Blazers,,Brandon Roy,sore left knee (DNP)
11/16/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/16/2010,Cavaliers,,Samardo Samuels,placed on IL
11/16/2010,Cavaliers,Anderson Varejao,,activated from IL
11/16/2010,Knicks,,Shawne Williams,placed on IL
11/16/2010,Knicks,Ronny Turiaf,,activated from IL
11/16/2010,Lakers,,Theo Ratliff,placed on IL recovering from arthroscopic surgery on left knee to remove part of torn meniscus
11/16/2010,Lakers,Steve Blake,,activated from IL
11/16/2010,Pacers,,Darren Collison,placed on IL with sprained left ankle
11/16/2010,Pacers,,Tyler Hansbrough,placed on IL with sprained left ankle
11/16/2010,Pacers,A.J. Price,,activated from IL
11/16/2010,Pacers,Jeff Foster,,activated from IL
11/16/2010,Raptors,,Solomon Alabi,placed on IL
11/16/2010,Raptors,Linas Kleiza,,activated from IL
11/16/2010,Wizards,,John Wall ,placed on IL with sprained left foot
11/16/2010,Wizards,,Jianlian Yi,placed on IL with bruised right knee
11/16/2010,Wizards,Hamady N'Diaye,,activated from IL
11/16/2010,Wizards,Lester Hudson,,activated from IL
11/17/2010,Celtics,,Jermaine O'Neal,placed on IL
11/17/2010,Clippers,,Randy Foye,strained left hamstring (DNP)
11/17/2010,Jazz,,Kyrylo Fesenko,dizziness (DNP)
11/17/2010,Mavericks,,Steve Novak,placed on IL
11/17/2010,Mavericks,Caron Butler,,activated from IL
11/17/2010,Nets,,Ben Uzoh,placed on IL
11/17/2010,Nets,,Troy Murphy,placed on IL with sore right foot
11/17/2010,Nets,Joe Smith ,,activated from IL
11/17/2010,Nets,Terrence Williams,,activated from IL
11/17/2010,Rockets,,Chase Budinger,sprained left ankle (DNP)
11/17/2010,Thunder,,Cole Aldrich,placed on IL
11/17/2010,Thunder,B.J. Mullens,,activated from IL
11/17/2010,Timberwolves,,Nikola Pekovic,placed on IL with sprained left ankle
11/17/2010,Timberwolves,Luke Ridnour,,activated from IL
11/18/2010,Blazers,,Brandon Roy,sore left knee (DNP)
11/18/2010,Magic,,Jason Williams,foot injury (DTD)
11/18/2010,Pacers,Tyler Hansbrough,,activated from IL
11/19/2010,Blazers,,Greg Oden,mircofracture surgery on left knee (out for season)
11/19/2010,Bobcats,,Eduardo Najera,placed on IL
11/19/2010,Bobcats,Kwame Brown,,activated from IL (P)
11/19/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/19/2010,Cavaliers,,Manny Harris,placed on IL
11/19/2010,Cavaliers,Mo Williams,,activated from IL
11/19/2010,Heat,,Juwan Howard,broken nose (DNP)
11/19/2010,Knicks,,Timofey Mozgov,left calf injury (DNP)
11/19/2010,Nets,,Terrence Williams,placed on IL
11/19/2010,Nets,Ben Uzoh,,activated from IL
11/19/2010,Thunder,,Kevin Durant,placed on IL with sprained left ankle
11/19/2010,Thunder,Daequan Cook,,activated from IL
11/19/2010,Warriors,,Brandan Wright,strained lower back (DNP)
11/20/2010,Blazers,,Brandon Roy,sore left knee (DNP)
11/20/2010,Bobcats,,Kwame Brown,placed on IL
11/20/2010,Bobcats,Dominic McGuire,,activated from IL
11/20/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/20/2010,Heat,,Dwyane Wade,placed on IL with sprained left wrist
11/20/2010,Heat,Jamaal Magloire,,activated from IL
11/20/2010,Magic,,Malik Allen,placed on IL
11/20/2010,Magic,J.J. Redick,,activated from IL
11/20/2010,Nets,,Quinton Ross,placed on IL with calf injury
11/20/2010,Nets,Terrence Williams,,activated from IL
11/20/2010,Pacers,,Dahntay Jones,placed on IL
11/20/2010,Suns,,Steve Nash,strained groin (DNP)
11/21/2010,Celtics,,Rajon Rondo,placed on IL with strained left hamstring
11/21/2010,Celtics,Avery Bradley,,activated from IL
11/21/2010,Hornets,Marcus Thornton ,,activated from IL
11/21/2010,Kings,,Antoine Wright,placed on IL
11/21/2010,Kings,Pooh Jeter,,activated from IL
11/21/2010,Raptors,Leandro Barbosa,,activated from IL
11/21/2010,Wizards,,Hamady N'Diaye,placed on IL
11/21/2010,Wizards,John Wall ,,activated from IL
11/21/2010,Wizards,,John Wall ,sprained left foot (DNP)
11/22/2010,Heat,,Udonis Haslem,placed on IL with torn ligament in left foot (out for season)
11/22/2010,Heat,Dwyane Wade,,activated from IL
11/22/2010,Hornets,,David Andersen,placed on IL
11/22/2010,Hornets,,Marcus Banks,placed on IL
11/22/2010,Hornets,,Marcus Thornton ,DNP
11/22/2010,Hornets,Aaron Gray,,activated from IL
11/22/2010,Nuggets,,Chauncey Billups,placed on IL with broken nose and sprained right wrist
11/22/2010,Nuggets,Chris Andersen,,activated from IL
11/22/2010,Pacers,,A.J. Price,placed on IL
11/22/2010,Pacers,,Jeff Foster,placed on IL
11/22/2010,Pacers,Dahntay Jones,,activated from IL
11/22/2010,Pacers,Darren Collison,,activated from IL
11/22/2010,Thunder,,Daequan Cook,placed on IL
11/22/2010,Thunder,,Morris Peterson,placed on IL
11/22/2010,Thunder,Jeff Green,,activated from IL
11/22/2010,Thunder,Kevin Durant,,activated from IL
11/22/2010,Warriors,,Brandan Wright,strained lower back (DNP)
11/23/2010,76ers,Andre Iguodala,,activated from IL
11/23/2010,Bobcats,,DeSagana Diop,placed on IL
11/23/2010,Bobcats,Kwame Brown,,activated from IL
11/23/2010,Heat,,Udonis Haslem,surgery on left foot to repair torn ligament (out for season)
11/23/2010,Nets,Damion James,,activated from IL
11/23/2010,Pacers,,Dahntay Jones,placed on IL
11/23/2010,Pacers,Jeff Foster,,activated from IL
11/24/2010,76ers,,Darius Songaila,placed on IL
11/24/2010,76ers,Craig Brackins,,activated from IL
11/24/2010,Bucks,,Andrew Bogut,sore back (DNP)
11/24/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/24/2010,Bulls,,Taj Gibson,right ankle/foot injury (DNP)
11/24/2010,Celtics,,Delonte West,broken right wrist (out indefinitely)
11/24/2010,Hornets,,Pops Mensah-Bonsu,placed on IL
11/24/2010,Magic,,Vince Carter,placed on IL with sprained left knee
11/24/2010,Magic,Jason Williams,,returned to lineup
11/24/2010,Magic,Malik Allen,,activated from IL
11/24/2010,Thunder,,B.J. Mullens,placed on IL
11/24/2010,Thunder,Morris Peterson,,activated from IL
11/24/2010,Warriors,,Brandan Wright,strained lower back (DNP)
11/25/2010,Kings,,Francisco Garcia,placed on IL with illness
11/25/2010,Kings,Antoine Wright,,activated from IL
11/25/2010,Wizards,,Al Thornton,placed on IL with sprained left ankle
11/25/2010,Wizards,Hamady N'Diaye,,activated from IL
11/26/2010,Bucks,,Andrew Bogut,sore back (DNP)
11/26/2010,Bucks,,Carlos Delfino,strained neck (DNP)
11/26/2010,Bulls,,Derrick Rose,placed on IL with sore neck
