PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,Ano
Zach Randolph,MEM,33,6/9,260,Michigan State,USA,2001,1,19,71,"1,143.00",747,153,6.8,10.30%,23.00%,24.00%,53.80%,11.10%,2014
Zaza Pachulia,MIL,31,6/11,270,None,Georgia,2003,2,42,73,606,500,178,7.5,11.80%,18.30%,18.60%,50.60%,15.50%,2014
Zoran Dragic,MIA,26,6/5,200,None,Slovenia,Undrafted,Undrafted,Undrafted,16,28,8,5,-8.9,6.00%,4.10%,20.80%,43.50%,11.60%,2014
Aaron Brooks,CHI,31,6/1,161,Oregon,USA,2007,1,26,69,491,101,180,0,1.80%,6.80%,22.50%,49.40%,26.50%,2015
Aaron Gordon,ORL,20,6/9,220,Arizona,USA,2014,1,4,78,719,507,128,-1.4,8.00%,18.90%,16.90%,54.10%,10.30%,2015
Aaron Harrison,CHA,21,6/6,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,21,18,15,2,-3.4,4.50%,11.20%,13.20%,37.10%,3.30%,2015
Adreian Payne,MIN,25,6/10,237,Michigan State,USA,2014,1,15,52,132,111,29,-12,4.40%,19.80%,17.50%,42.20%,9.30%,2015
Al Horford,ATL,30,6/10,245,Florida,Dominican Rep...,2007,1,3,82,"1,249.00",596,263,4.2,5.60%,15.80%,20.20%,56.50%,16.50%,2015
Al Jefferson,CHA,31,6/10,289,None,USA,2004,1,15,47,562,301,70,2.5,5.00%,21.60%,24.00%,50.70%,11.40%,2015
Al-Farouq Aminu,POR,25,6/9,215,Wake Forest,USA,2010,1,8,82,839,499,138,1.6,4.10%,16.80%,16.60%,53.30%,8.70%,2015
Alan Anderson,WAS,33,6/6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,13,65,27,14,8.2,0.50%,13.10%,15.10%,49.50%,11.20%,2015
Alan Williams,PHX,23,6/8,260,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,10,29,38,5,-0.7,16.50%,34.80%,19.40%,48.10%,9.60%,2015
Alec Burks,UTA,24,6/6,214,Colorado,USA,2011,1,12,31,412,109,63,0.5,1.90%,12.10%,24.60%,52.00%,14.00%,2015
Alex Len,PHX,23,7/1,260,Maryland,Ukraine,2013,1,5,78,703,594,97,-7.7,9.10%,22.30%,20.20%,48.20%,8.70%,2015
Alex Stepheson,MEM,28,6/10,270,Southern California,USA,Undrafted,Undrafted,Undrafted,8,22,28,2,-2,17.60%,10.80%,16.60%,34.10%,5.30%,2015
Alexis Ajinca,NOP,28,7/2,248,None,France,2008,1,20,59,352,269,31,-2.6,8.50%,22.70%,20.10%,51.40%,5.90%,2015
Allen Crabbe,POR,24,6/6,210,California,USA,2013,2,31,81,832,216,99,1,1.20%,8.60%,15.90%,57.20%,7.20%,2015
Alonzo Gee,NOP,29,6/6,225,Alabama,USA,Undrafted,Undrafted,Undrafted,73,325,245,72,-4.4,3.50%,11.10%,9.10%,57.20%,6.30%,2015
Amar'e Stoudemire,MIA,33,6/10,245,None,USA,2002,1,9,52,300,222,27,0,9.20%,20.60%,17.60%,59.90%,5.40%,2015
Amir Johnson,BOS,29,6/9,240,No College,USA,2005,2,56,79,577,505,138,4.6,9.20%,17.30%,13.60%,60.20%,11.00%,2015
Anderson Varejao,GSW,33,6/11,273,None,Brazil,2004,2,30,53,138,141,35,2.8,6.80%,20.40%,14.30%,47.30%,10.20%,2015
Andre Drummond,DET,22,6/11,279,Connecticut,USA,2012,1,9,81,"1,314.00","1,198.00",67,2.4,13.50%,30.90%,23.90%,49.90%,4.20%,2015
Andre Iguodala,GSW,32,6/6,215,Arizona,USA,2004,1,9,65,457,263,219,13.2,3.10%,11.00%,11.70%,56.50%,16.50%,2015
Andre Miller,SAS,40,6/3,200,Utah,USA,1999,1,8,39,144,51,87,2.8,3.10%,8.70%,15.60%,60.00%,27.60%,2015
Andre Roberson,OKC,24,6/7,210,Colorado,USA,2013,1,26,70,337,251,47,9.2,5.30%,10.20%,9.20%,56.60%,3.90%,2015
Andrea Bargnani,BKN,30,7/1,245,None,Italy,2006,1,1,46,304,97,18,-14.7,4.20%,11.70%,22.70%,50.00%,5.10%,2015
Andrew Bogut,GSW,31,7/1,260,Utah,Australia,2005,1,1,70,375,492,162,14.1,8.60%,22.90%,11.50%,62.30%,14.50%,2015
Andrew Goudelock,HOU,27,6/3,200,College of Charleston,USA,2011,2,46,8,22,2,4,8.3,2.10%,1.30%,23.40%,50.60%,11.80%,2015
Andrew Nicholson,ORL,26,6/9,250,St. Bonaventure,Canada,2012,1,19,56,384,201,25,2.8,4.10%,19.10%,20.50%,56.70%,5.00%,2015
Andrew Wiggins,MIN,21,6/8,199,Kansas,Canada,2014,1,1,81,"1,675.00",291,164,-1.3,3.90%,6.60%,26.70%,54.30%,9.80%,2015
Anthony Bennett,TOR,23,6/8,245,UNLV,Canada,2013,1,1,19,28,23,0,-19,5.90%,26.20%,16.60%,44.60%,0.00%,2015
Anthony Brown,LAL,23,6/7,210,Stanford,USA,2015,2,34,29,115,70,19,-2.3,1.40%,10.10%,10.90%,42.70%,4.80%,2015
Anthony Davis,NOP,23,6/10,253,Kentucky,USA,2012,1,1,61,"1,481.00",627,116,-4.1,5.90%,23.40%,29.00%,55.90%,10.00%,2015
Anthony Morrow,OKC,30,6/5,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,68,380,62,24,5.3,1.10%,5.40%,16.70%,54.30%,3.70%,2015
Anthony Tolliver,DET,31,6/8,240,Creighton,USA,Undrafted,Undrafted,Undrafted,72,383,229,52,0,2.60%,14.30%,12.20%,54.30%,5.80%,2015
Archie Goodwin,PHX,21,6/5,200,Kentucky,USA,2013,1,29,57,505,142,118,-9,2.30%,10.40%,22.70%,49.80%,17.40%,2015
Aron Baynes,DET,29,6/10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,81,514,384,51,-3.4,10.60%,20.20%,18.40%,56.30%,7.00%,2015
Arron Afflalo,NYK,30,6/5,210,UCLA,USA,2007,1,27,71,909,266,144,-3.4,1.00%,9.80%,17.80%,53.10%,9.70%,2015
Austin Rivers,LAC,23,6/4,200,Duke,USA,2012,1,10,67,593,130,99,-4,1.50%,7.00%,18.80%,52.30%,11.60%,2015
Avery Bradley,BOS,25,6/2,180,Texas-Austin,USA,2010,1,19,76,"1,155.00",220,158,4.6,1.80%,6.50%,19.70%,53.80%,9.50%,2015
Axel Toupane,DEN,23,6/7,210,None,France,Undrafted,Undrafted,Undrafted,21,76,31,15,-2.2,2.80%,7.60%,12.20%,49.00%,6.80%,2015
Ben McLemore,SAC,23,6/5,195,Kansas,USA,2013,1,7,68,531,148,79,1.2,2.30%,7.60%,17.20%,53.10%,7.60%,2015
Beno Udrih,MEM,33,6/3,205,None,Slovenia,2004,1,28,44,205,72,116,-1.7,1.20%,9.10%,16.70%,49.60%,25.60%,2015
Bismack Biyombo,TOR,23,6/9,245,None,DRC,2011,1,7,82,454,655,29,3.1,10.00%,24.90%,11.40%,58.60%,2.50%,2015
Blake Griffin,LAC,27,6/10,251,Oklahoma,USA,2009,1,1,35,749,294,170,7.3,4.40%,19.60%,28.90%,54.40%,25.80%,2015
Boban Marjanovic,SAS,27,7/3,290,None,Serbia,Undrafted,Undrafted,Undrafted,54,297,194,21,4.5,15.40%,24.60%,22.00%,66.20%,7.20%,2015
Bobby Portis,CHI,21,6/11,230,Arkansas,USA,2015,1,22,62,436,337,52,-7.6,10.10%,18.60%,20.30%,46.90%,7.60%,2015
Bojan Bogdanovic,BKN,27,6/8,216,None,Croatia,2011,2,31,79,887,255,99,-9.2,1.70%,10.50%,19.00%,55.00%,7.30%,2015
Boris Diaw,SAS,34,6/8,250,None,France,2003,1,21,76,485,233,176,10.2,4.50%,12.40%,16.40%,58.20%,18.20%,2015
Bradley Beal,WAS,23,6/5,207,Florida,USA,2012,1,3,55,958,188,162,-0.2,2.40%,8.80%,24.50%,54.70%,15.30%,2015
Brandan Wright,MEM,28,6/10,210,North Carolina,USA,2007,1,8,12,83,43,6,-11.1,6.60%,13.40%,15.20%,66.30%,5.00%,2015
Branden Dawson,LAC,23,6/6,225,Michigan State,USA,2015,2,56,6,5,4,0,-29.5,9.10%,6.30%,7.80%,46.00%,0.00%,2015
Brandon Bass,LAL,31,6/8,250,Louisiana State,USA,2005,2,33,66,473,285,74,-0.9,7.40%,13.60%,13.60%,61.90%,8.80%,2015
Brandon Jennings,ORL,26,6/1,169,None,USA,2009,1,10,48,332,96,170,0.3,1.70%,9.20%,19.20%,49.10%,29.80%,2015
Brandon Knight,PHX,24,6/3,189,Kentucky,USA,2011,1,8,52,"1,018.00",202,263,-5.5,1.80%,9.00%,25.80%,52.20%,23.40%,2015
Brandon Rush,GSW,30,6/6,220,Kansas,USA,2008,1,13,72,305,181,57,-0.9,2.10%,14.00%,12.50%,56.00%,7.20%,2015
Brian Roberts,POR,30,6/1,173,University of Dayton,USA,Undrafted,Undrafted,Undrafted,51,205,41,54,-7,1.20%,7.50%,18.80%,55.20%,20.50%,2015
Briante Weber,MIA,23,6/2,165,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,7,31,25,21,-21.2,3.70%,11.50%,11.70%,38.00%,17.50%,2015
Brook Lopez,BKN,28,7/1,275,Stanford,USA,2008,1,10,73,"1,501.00",573,146,-2.4,8.60%,15.30%,27.20%,56.20%,10.60%,2015
Bruno Caboclo,TOR,20,6/9,205,None,Brazil,2014,1,20,6,3,2,1,-13.1,2.00%,2.10%,15.20%,12.50%,3.30%,2015
Bryce Cotton,MEM,23,6/1,165,Providence,USA,Undrafted,Undrafted,Undrafted,8,8,0,3,-30.4,0.00%,0.00%,17.00%,40.00%,13.60%,2015
Bryce Dejean-Jones,NOP,23,6/6,203,Iowa State,USA,Undrafted,Undrafted,Undrafted,14,79,48,15,-6.8,2.50%,15.70%,14.00%,50.50%,7.60%,2015
C.J. Watson,ORL,32,6/2,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,33,142,66,88,-3.5,1.50%,8.40%,11.70%,46.10%,18.00%,2015
C.J. Wilcox,LAC,25,6/5,195,Washington,USA,2014,1,28,23,70,12,10,6.3,0.60%,5.70%,19.00%,49.10%,9.00%,2015
CJ McCollum,POR,24,6/4,200,Lehigh,USA,2013,1,10,80,"1,666.00",259,341,2.6,1.60%,7.50%,26.60%,54.40%,21.10%,2015
CJ Miles,IND,29,6/6,231,None,USA,2005,2,34,64,753,175,63,0.2,1.70%,9.90%,22.10%,54.70%,6.90%,2015
Cameron Bairstow,DET,25,6/9,250,New Mexico,Australia,2014,2,49,18,34,28,6,-2.3,3.40%,20.30%,19.60%,39.10%,9.10%,2015
Cameron Payne,OKC,21,6/3,185,Murray State,USA,2015,1,14,57,283,85,108,-1.8,1.20%,10.80%,19.90%,49.00%,24.10%,2015
Carl Landry,PHI,32,6/9,248,Purdue,USA,2007,2,31,36,351,146,32,-9.3,8.10%,17.80%,23.60%,60.50%,10.20%,2015
Carmelo Anthony,NYK,32,6/8,240,Syracuse,USA,2003,1,3,72,"1,573.00",556,299,-0.9,3.90%,17.30%,29.10%,53.00%,20.90%,2015
Caron Butler,SAC,36,6/7,228,Connecticut,USA,2002,1,10,17,63,22,10,-13.1,2.50%,9.80%,15.90%,49.00%,9.90%,2015
Chandler Parsons,DAL,27,6/10,230,Florida,USA,2011,2,38,61,837,285,169,0.3,1.70%,14.10%,20.40%,58.90%,15.80%,2015
Channing Frye,CLE,33,6/11,255,Arizona,USA,2005,1,8,70,425,234,71,4.8,3.00%,17.20%,15.30%,58.60%,8.60%,2015
Charlie Villanueva,DAL,31,6/11,232,Connecticut,USA,2005,1,7,62,319,152,24,-8,3.20%,19.30%,23.60%,47.30%,6.30%,2015
Chase Budinger,PHX,28,6/7,209,Arizona,USA,2009,2,44,66,271,150,64,-0.3,4.30%,11.50%,13.80%,51.40%,9.80%,2015
Chris Andersen,MEM,37,6/10,245,Blinn J.C.,USA,Undrafted,Undrafted,Undrafted,27,105,98,12,-10.1,8.80%,17.50%,10.80%,59.80%,4.50%,2015
Chris Bosh,MIA,32,6/11,235,Georgia Tech,USA,2003,1,4,53,"1,010.00",390,128,0.5,2.80%,18.80%,24.70%,57.10%,12.90%,2015
Chris Copeland,MIL,32,6/9,239,Colorado,USA,Undrafted,Undrafted,Undrafted,24,50,10,11,-25.7,0.60%,6.40%,16.90%,46.20%,12.00%,2015
Chris Johnson,UTA,26,6/6,206,Dayton,USA,Undrafted,Undrafted,Undrafted,70,205,132,45,2,3.20%,11.80%,13.10%,48.20%,8.20%,2015
Chris Kaman,POR,34,7/1,265,Central Michigan,USA,2003,1,6,16,44,24,11,-14.6,6.70%,14.80%,20.20%,49.60%,18.60%,2015
Chris McCullough,BKN,21,6/11,200,Syracuse,USA,2015,1,29,24,112,68,9,-14.7,6.30%,12.60%,15.80%,47.00%,3.80%,2015
Chris Paul,LAC,31,6/1,175,Wake Forest,USA,2005,1,4,74,"1,446.00",310,738,11,1.70%,10.50%,26.50%,57.50%,49.30%,2015
Christian Wood,PHI,20,6/11,220,UNLV,USA,Undrafted,Undrafted,Undrafted,17,61,38,3,-13,7.50%,15.50%,18.50%,49.00%,3.50%,2015
Chuck Hayes,LAC,33,6/6,240,Kentucky,USA,Undrafted,Undrafted,Undrafted,2,4,8,2,-2.3,0.00%,25.00%,11.30%,69.40%,13.30%,2015
Cleanthony Early,NYK,25,6/8,210,Wichita State,USA,2014,2,34,17,31,26,6,0.3,2.40%,12.40%,14.70%,37.10%,5.80%,2015
Cliff Alexander,POR,20,6/8,240,Kansas,USA,Undrafted,Undrafted,Undrafted,8,10,6,0,-20.4,6.50%,10.50%,13.40%,50.00%,0.00%,2015
Clint Capela,HOU,22,6/10,240,None,Switzerland,2014,1,25,77,542,494,47,3.7,12.30%,20.20%,15.60%,55.30%,5.00%,2015
Cody Zeller,CHA,23,7/1,240,Indiana,USA,2013,1,4,73,638,455,71,5,7.70%,17.80%,15.20%,59.20%,6.10%,2015
Cole Aldrich,LAC,27,6/11,250,Kansas,USA,2010,1,11,60,328,288,50,-0.7,11.00%,25.20%,18.50%,62.60%,10.70%,2015
Corey Brewer,HOU,30,6/9,186,Florida,USA,2007,1,7,82,590,199,109,-2.1,2.30%,9.00%,17.20%,48.10%,10.20%,2015
Cory Jefferson,PHX,25,6/9,218,Baylor,USA,2014,2,60,8,22,16,0,-6.7,10.30%,18.50%,20.30%,44.60%,0.00%,2015
Cory Joseph,TOR,24,6/3,190,University of Texas at Austin,Canada,2011,1,29,80,677,210,250,6.2,1.90%,8.00%,16.60%,51.20%,19.90%,2015
Coty Clarke,BOS,23,6/7,225,Arkansas,USA,Undrafted,Undrafted,Undrafted,3,6,1,0,42.3,0.00%,20.00%,35.70%,75.00%,0.00%,2015
Courtney Lee,CHA,30,6/5,200,Western Kentucky,USA,2008,1,22,79,761,205,136,3,1.30%,7.70%,14.60%,55.10%,8.80%,2015
Cristiano Felicio,CHI,23,6/10,275,None,Brazil,Undrafted,Undrafted,Undrafted,31,105,102,26,8,9.40%,21.80%,13.50%,60.10%,11.50%,2015
D'Angelo Russell,LAL,20,6/5,195,Ohio State,USA,2015,1,2,80,"1,054.00",274,266,-11.7,1.90%,10.10%,23.80%,50.70%,21.30%,2015
D.J. Augustin,DEN,28,6/1,183,Texas-Austin,USA,2008,1,9,62,467,95,198,-1,0.70%,7.20%,18.00%,57.50%,25.70%,2015
Dahntay Jones,CLE,35,6/6,225,Duke,USA,2003,1,20,1,13,5,2,1.5,2.40%,9.50%,15.60%,46.40%,6.70%,2015
Damian Lillard,POR,25,6/3,195,Weber State,USA,2012,1,6,75,"1,879.00",302,512,1.6,1.60%,9.30%,30.40%,56.00%,33.00%,2015
Damien Inglis,MIL,21,6/8,246,None,France,2014,2,31,20,36,31,10,-13.7,1.30%,17.10%,14.90%,44.40%,11.20%,2015
Damjan Rudez,MIN,30,6/9,230,None,Croatia,Undrafted,Undrafted,Undrafted,33,75,20,11,-2.5,1.90%,5.60%,12.30%,57.20%,5.80%,2015
Danilo Gallinari,DEN,27,6/10,225,None,Italy,2008,1,6,53,"1,036.00",281,135,-2.8,2.70%,12.70%,22.60%,58.20%,12.20%,2015
Danny Green,SAS,29,6/6,215,North Carolina,USA,2009,2,46,79,572,303,141,12.5,2.40%,12.10%,14.30%,49.20%,9.20%,2015
Dante Cunningham,NOP,29,6/8,230,Villanova,USA,2009,2,33,80,484,236,77,-6.3,2.80%,9.70%,11.00%,54.00%,5.60%,2015
Darrell Arthur,DEN,28,6/9,235,Kansas,USA,2008,1,27,70,527,293,96,-1.8,5.50%,13.20%,16.50%,51.40%,10.20%,2015
Darren Collison,SAC,28,6/1,175,UCLA,USA,2009,1,21,74,"1,035.00",169,318,-1.6,1.20%,6.20%,19.00%,59.10%,21.90%,2015
Darrun Hilliard,DET,23,6/6,205,Villanova,USA,2015,2,38,38,152,45,27,-1.7,1.30%,10.30%,19.00%,51.10%,11.70%,2015
David Lee,DAL,33,6/9,245,Florida,USA,2005,1,30,55,427,305,84,-4,10.80%,21.80%,21.00%,56.80%,16.20%,2015
David West,SAS,35,6/9,250,Xavier,USA,2003,1,18,78,554,309,143,12.2,5.50%,16.80%,17.50%,57.30%,15.00%,2015
DeAndre Jordan,LAC,27,6/11,265,Texas A&M,USA,2008,2,35,77,980,"1,059.00",90,8.9,10.50%,28.60%,15.50%,62.80%,5.10%,2015
DeJuan Blair,WAS,27,6/7,270,Pittsburgh,USA,2009,2,37,29,61,57,11,-9.5,8.10%,18.00%,16.60%,41.40%,7.70%,2015
DeMar DeRozan,TOR,26,6/7,220,Southern California,USA,2009,1,9,78,"1,830.00",349,315,2.8,2.30%,10.30%,29.10%,55.00%,20.80%,2015
DeMarcus Cousins,SAC,25,6/11,270,Kentucky,USA,2010,1,5,65,"1,748.00",747,214,1.3,7.00%,24.90%,35.10%,53.80%,16.70%,2015
DeMarre Carroll,TOR,29,6/8,212,Missouri,USA,2009,1,27,26,286,122,27,2.6,3.70%,11.80%,17.60%,49.00%,5.60%,2015
Delon Wright,TOR,24,6/5,190,Utah,USA,2015,1,20,27,103,37,31,3.3,3.50%,12.00%,21.80%,54.00%,22.60%,2015
Dennis Schroder,ATL,22,6/1,172,None,Germany,2013,1,17,80,879,204,349,7.5,1.60%,10.60%,28.60%,51.00%,36.80%,2015
Deron Williams,DAL,32,6/3,200,Illinois,USA,2005,1,3,65,918,190,378,0.1,0.90%,7.90%,21.80%,53.00%,29.50%,2015
Derrick Favors,UTA,24,6/10,265,Georgia Tech,USA,2010,1,3,62,"1,016.00",503,94,2.3,8.90%,18.00%,23.40%,55.10%,8.60%,2015
Derrick Rose,CHI,27,6/3,190,Memphis,USA,2008,1,1,66,"1,080.00",225,311,-3.8,2.10%,7.80%,26.60%,47.90%,25.00%,2015
Derrick Williams,NYK,25,6/8,240,Arizona,USA,2011,1,2,80,746,296,75,-7,3.20%,16.90%,23.00%,55.00%,9.60%,2015
Devin Booker,PHX,19,6/6,206,Kentucky,USA,2015,1,13,76,"1,048.00",187,200,-8.4,1.20%,7.50%,22.80%,53.50%,16.20%,2015
Devin Harris,DAL,33,6/3,185,Wisconsin,USA,2004,1,5,64,487,138,118,-2.6,1.40%,8.90%,16.80%,55.90%,14.90%,2015
Devyn Marble,ORL,23,6/6,200,Iowa,USA,2014,2,56,28,60,38,12,-1.2,2.10%,12.00%,15.30%,36.80%,7.20%,2015
Dewayne Dedmon,ORL,26,7/1,245,Southern California,USA,Undrafted,Undrafted,Undrafted,58,255,228,13,-1.1,9.50%,22.30%,15.10%,60.60%,2.90%,2015
Dion Waiters,OKC,24,6/4,220,Syracuse,USA,2012,1,4,78,762,202,154,4.4,1.60%,7.30%,17.30%,49.20%,10.30%,2015
Dirk Nowitzki,DAL,38,7/1,245,None,Germany,1998,1,9,75,"1,372.00",489,132,4.2,2.20%,18.20%,24.90%,55.50%,9.60%,2015
Donald Sloan,BKN,28,6/3,205,Texas A&M,USA,Undrafted,Undrafted,Undrafted,61,424,173,268,-4.5,1.30%,11.90%,16.30%,53.60%,29.30%,2015
Donatas Motiejunas,HOU,25,7/1,222,None,Lithuania,2011,1,20,37,230,109,41,4,6.90%,12.40%,21.40%,50.40%,11.60%,2015
Doug McDermott,CHI,24,6/8,225,Creighton,USA,2014,1,11,81,764,195,59,-3,1.90%,8.00%,16.60%,56.10%,4.90%,2015
Draymond Green,GSW,26,6/7,230,Michigan State,USA,2012,2,35,81,"1,131.00",769,598,18,5.00%,19.80%,18.40%,58.70%,27.70%,2015
Drew Gooden,WAS,34,6/10,250,Kansas,USA,2002,1,4,30,82,85,13,-12.2,8.30%,19.80%,16.90%,37.60%,6.60%,2015
Duje Dukan,SAC,24,6/9,220,Wisconsin,Croatia,Undrafted,Undrafted,Undrafted,1,6,4,1,-15.4,5.10%,6.90%,15.40%,30.00%,6.70%,2015
Dwight Howard,HOU,30,6/11,265,None,USA,2004,1,1,71,976,835,98,0.9,10.30%,26.10%,18.40%,60.40%,7.10%,2015
Dwight Powell,DAL,24,6/11,240,Stanford,Canada,2014,2,45,69,399,273,44,-2.3,8.20%,18.80%,17.50%,55.70%,7.70%,2015
Dwyane Wade,MIA,34,6/4,220,Marquette,USA,2003,1,5,74,"1,409.00",302,344,-0.4,3.80%,9.60%,31.00%,51.70%,26.70%,2015
E'Twaun Moore,CHI,27,6/4,191,Purdue,USA,2011,2,55,59,443,133,99,-0.9,1.50%,8.20%,15.70%,54.80%,11.80%,2015
Ed Davis,POR,27,6/10,240,North Carolina,USA,2010,1,13,81,526,599,88,1,12.50%,21.10%,12.50%,61.60%,7.80%,2015
Edy Tavares,ATL,24,7/3,260,None,Cabo Verde,2014,2,43,11,25,21,3,-4.3,11.50%,19.70%,16.70%,55.50%,5.50%,2015
Elfrid Payton,ORL,22,6/4,185,Louisana-Lafayette,USA,2014,1,10,73,778,261,467,-1.4,3.40%,8.70%,19.80%,47.80%,31.70%,2015
Elijah Millsap,UTA,28,6/6,225,Alabama-Birmingham,USA,Undrafted,Undrafted,Undrafted,20,36,35,19,7.4,3.30%,15.20%,14.10%,38.40%,16.40%,2015
Elliot Williams,CHA,27,6/5,190,Memphis,USA,2010,1,22,5,8,4,4,-4.6,2.40%,6.80%,13.80%,34.00%,14.30%,2015
Elton Brand,PHI,37,6/9,254,Duke,USA,1999,1,1,17,70,63,18,-7,3.40%,22.00%,16.80%,46.10%,14.20%,2015
Emmanuel Mudiay,DEN,20,6/5,200,None,Democratic Re...,2015,1,7,68,872,232,372,-3.1,1.50%,9.70%,25.00%,43.70%,28.10%,2015
Enes Kanter,OKC,24,6/11,245,None,Turkey,2011,1,3,82,"1,038.00",664,33,3.8,14.50%,23.00%,22.90%,62.60%,3.20%,2015
Eric Bledsoe,PHX,26,6/1,190,Kentucky,USA,2010,1,18,31,632,125,190,-1.7,1.60%,10.00%,27.00%,55.70%,29.80%,2015
Eric Gordon,NOP,27,6/4,215,Indiana,USA,2008,1,7,45,686,99,121,-2.3,0.70%,5.90%,20.30%,56.50%,12.90%,2015
Eric Moreland,SAC,24,6/10,238,Oregon State,USA,Undrafted,Undrafted,Undrafted,8,8,11,1,6.7,6.70%,13.60%,9.60%,51.50%,2.90%,2015
Erick Green,DEN,25,6/4,185,Virginia Tech,USA,2013,2,46,9,13,6,3,-1.2,8.10%,10.00%,13.80%,46.80%,10.70%,2015
Ersan Ilyasova,ORL,29,6/10,235,None,Turkey,2005,2,36,74,767,403,67,-4,6.90%,15.00%,18.00%,52.60%,5.50%,2015
Evan Fournier,ORL,23,6/7,205,None,France,2012,1,20,79,"1,213.00",225,214,-3.3,1.30%,7.70%,20.00%,58.70%,12.80%,2015
Evan Turner,BOS,27,6/7,220,Ohio State,USA,2010,1,2,81,854,397,359,2,2.00%,14.50%,18.40%,51.30%,24.70%,2015
Festus Ezeli,GSW,26,6/11,265,Vanderbilt,Nigeria,2012,1,30,46,320,257,32,14.3,12.10%,19.60%,17.70%,55.90%,6.00%,2015
Frank Kaminsky,CHA,23,7/1,240,Wisconsin,USA,2015,1,9,81,606,335,98,-0.9,3.80%,15.00%,16.60%,51.30%,9.50%,2015
Garrett Temple,WAS,30,6/6,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,80,582,212,140,0,1.80%,9.10%,14.00%,52.00%,10.20%,2015
Gary Harris,DEN,21,6/4,210,Michigan State,USA,2014,1,19,76,932,220,147,-4.1,2.10%,6.90%,16.00%,56.60%,9.30%,2015
Gary Neal,WAS,31,6/4,210,Towson,USA,Undrafted,Undrafted,Undrafted,40,390,83,47,-9.9,1.40%,9.30%,20.40%,55.80%,9.90%,2015
George Hill,IND,30,6/3,188,Indiana-Purdue Indianapolis,USA,2008,1,26,74,894,298,259,1.9,2.30%,9.30%,15.70%,55.50%,15.70%,2015
Gerald Green,MIA,30,6/7,205,No College,USA,2005,1,18,69,616,163,56,0.9,1.70%,8.50%,19.20%,49.10%,5.70%,2015
Gerald Henderson,POR,28,6/5,215,Duke,USA,2009,1,12,72,624,211,75,1.3,2.00%,12.10%,20.10%,52.60%,8.40%,2015
Giannis Antetokounmpo,MIL,21,6/11,222,None,Greece,2013,1,15,80,"1,350.00",612,345,-3.1,4.20%,18.00%,22.10%,56.60%,19.50%,2015
Glenn Robinson III,IND,22,6/7,222,Michigan,USA,2014,2,40,45,171,68,26,-3.6,2.20%,10.90%,15.70%,50.80%,7.70%,2015
Goran Dragic,MIA,30,6/3,190,None,Slovenia,2008,2,45,72,"1,018.00",277,419,3.6,2.40%,9.10%,21.10%,53.70%,27.60%,2015
Gordon Hayward,UTA,26,6/8,226,Butler,USA,2010,1,9,80,"1,578.00",397,296,1.6,2.20%,12.10%,25.00%,55.90%,18.10%,2015
Gorgui Dieng,MIN,26,6/11,241,Louisville,Senegal,2013,1,21,82,827,585,143,-0.3,7.70%,19.60%,16.50%,60.10%,9.90%,2015
Greg Monroe,MIL,26,6/11,265,Georgetown,USA,2010,1,7,79,"1,210.00",696,178,-2.4,9.90%,21.50%,23.10%,56.20%,12.80%,2015
Greg Smith,MIN,25,6/10,250,Fresno State,USA,Undrafted,Undrafted,Undrafted,18,43,42,6,-19.8,5.90%,16.90%,10.40%,54.50%,4.90%,2015
Greivis Vasquez,MIL,29,6/6,217,Maryland,Venezuela,2010,1,28,23,130,47,91,-9.7,1.10%,9.30%,18.40%,43.50%,32.00%,2015
Harrison Barnes,GSW,24,6/8,225,North Carolina,USA,2012,1,7,66,774,325,117,10.2,3.80%,11.40%,15.60%,55.90%,7.70%,2015
Hassan Whiteside,MIA,27,7/1,265,Marshall,USA,2010,2,33,73,"1,040.00",865,29,1.9,11.60%,28.20%,20.10%,62.90%,2.20%,2015
Henry Sims,BKN,26,6/10,248,Georgetown,USA,Undrafted,Undrafted,Undrafted,14,91,72,9,-15.7,7.20%,20.80%,16.80%,50.40%,5.40%,2015
Hollis Thompson,PHI,25,6/8,206,Georgetown,USA,Undrafted,Undrafted,Undrafted,77,758,272,99,-8.8,2.40%,9.90%,15.70%,52.50%,7.20%,2015
Ian Clark,GSW,25,6/3,175,Belmont,USA,Undrafted,Undrafted,Undrafted,66,236,68,64,-7.6,2.30%,9.00%,19.30%,54.40%,17.10%,2015
Ian Mahinmi,IND,29,6/11,250,None,France,2005,1,28,71,660,507,104,3.6,7.60%,19.70%,15.70%,60.30%,9.00%,2015
Iman Shumpert,CLE,26,6/5,220,Georgia Tech,USA,2011,1,17,54,311,203,92,7.8,2.50%,12.70%,13.00%,47.50%,10.00%,2015
